"Issue Id","Project","Tags","Summary","Reporter","Created","Updated","Resolved","Priority","Type","State","Assignee","Sprints","Ideal days","Original estimation","Story points","Environment","QASE TC # (only for bug)","Description","Votes"
"G13-84","group1.3","","В пункте ""Payment Information"" возможно произвести оплату картой, не входящей в список разрешенных банковских карт","stanislavdurnev9","27 Sep 2022","5 Nov 2022","5 Nov 2022","Major","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","No qase tc # (only for bug)","STR:

1. Добавить 1 товар в корзину;

2. Перейти на экран оплаты посредством нажатия на кнопку ""Checkout"";

3. Заполнить пункты 1-4 валидными данными;

4. В пункте 5 ""Payment Information"" выбрать карту Visa, держатель карты - TEST, номер карты - 3566002020360505 (карта банка JCB), срок действия - 12.2025, код карты - 123;

5. Потвердить и оплатить товар

   ER: на экране появится валидационное сообщение ""Возможно использовать банковские карты только из выпадающего списка"".

   AR: оплата проходит успешно.","0"
"G13-83","group1.3","","Поле ""Держатель карты"" в пункте ""Payment Information"" принимает невалидные значения (кириллица, цифры, спец.символы)","stanislavdurnev9","27 Sep 2022","5 Nov 2022","5 Nov 2022","Major","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","No qase tc # (only for bug)","STR:

1. Добавить 1 товар в корзину;

2. Перейти на экран оплаты посредством нажатия на кнопку ""Checkout"";

3. Заполнить пункты 1-4 валидными данными;

4. В пункте 5 ""Payment Information"" выбрать карту Visa, держатель карты - Кирилл28@, номер карты - 4111111111111111, срок действия - 12.2025, код карты - 321;

5. Потвердить и оплатить товар

   ER: на экране появится валидационное сообщение ""В поле имени владельца карты невозможно использовать кириллицу, цифры, спец.символы"".

   AR: оплата проходит успешно.","0"
"G13-82","group1.3","","Оплата товара возможна при неверно указанном CVV банковской карты","stanislavdurnev9","27 Sep 2022","5 Nov 2022","5 Nov 2022","Major","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","No qase tc # (only for bug)","STR:

1. Добавить 1 товар в корзину;

2. Перейти на экран оплаты посредством нажатия на кнопку ""Checkout"";

3. Заполнить пункты 1-4 валидными данными;

4. В пункте 5 ""Payment Information"" выбрать карту Visa, держатель карты - TEST, номер карты - 4111111111111111, срок действия - 12.2025, код карты - 321;

5. Потвердить и оплатить товар

   ER: на экране появится валидационное сообщение ""Неверно указан CVV банковской карты, оплату произвести невозможно"".

   AR: оплата проходит успешно.","0"
"G13-81","group1.3","","Оплата товара возможна при истекшем сроке действии банковской карты","stanislavdurnev9","27 Sep 2022","5 Nov 2022","5 Nov 2022","Major","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","No qase tc # (only for bug)","STR:

1. Добавить 1 товар в корзину;

2. Перейти на экран оплаты посредством нажатия на кнопку ""Checkout"";

3. Заполнить пункты 1-4 валидными данными;

4. В пункте 5 ""Payment Information"" выбрать карту Visa, держатель карты - TEST, номер карты - 4111111111111111, срок действия - 01.2022, код карты - 123;

5. Потвердить и оплатить товар

   ER: на экране появится валидационное сообщение ""Срок действия карты истек, оплату произвести невозможно"".

   AR: оплата проходит успешно.","0"
"G13-79","group1.3","","Отсутствие промокодов на сайте.","stanislavdurnev9","27 Sep 2022","5 Nov 2022","5 Nov 2022","Minor","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","No qase tc # (only for bug)",,"0"
"G13-80","group1.3","","В поле "" In-Store Pickup"" отсутствует возможность выбора адреса магазина","stanislavdurnev9","27 Sep 2022","5 Nov 2022","5 Nov 2022","Normal","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","No qase tc # (only for bug)","STR:

1. Добавить 1 товар в корзину;

2. Перейти на экран оплаты посредством нажатия на кнопку ""Checkout"";

3. Заполнить поле ""Billing Address"", нажать ""Continue"";

4. В графе ""Shipping Address"" нажать на чек-бокс ""In-Store Pickup""

   ER: появляется возможность выбора адреса магазина;

   AR: адрес магазина выбрать невозможно.","0"
"G13-78","group1.3","Star","При возврате с экрана оплаты на экран корзины и изменении количества товара - сумма на экране оплаты не изменяется.","stanislavdurnev9","27 Sep 2022","5 Nov 2022","5 Nov 2022","Normal","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","No qase tc # (only for bug)","STR:

1. Добавить 1 товар в корзину;

2. Перейти на экран оплаты посредством нажатия на кнопку ""Checkout"";

3. Вернуться на экран корзины и увеличить количество товара на 1 единицу;

4. Перейти на экран оплаты, нажать кнопку ""Checkout"".

   ER: сумма при изменении количества товара измениться.

   AR: сумма не меняется.","0"
"G13-2","group1.3","","#7 Web App Testing","root","10 Sep 2022","5 Oct 2022",,"Critical","Epic","Open","Unassigned","Нет версии исправления",,,,"No environment","No qase tc # (only for bug)",,"0"
"G13-183","group1.3","","Registration proceeds if none of radio buttons haven't chosen ","Leyla","2 Oct 2022","2 Oct 2022",,"Normal","Task","Open","Unassigned","Нет версии исправления",,,,"No environment","No qase tc # (only for bug)","**STP**

* Add to cart a product
* Go to shopping cart
* Press Agree and Checkout
* Click on Radio button 



**Expected Result**

If one of the radio buttons haven't chosen, the registration not completed

**Actual Result**

The registration passed, if none of them are chosen


","0"
"G13-1","group1.3","","#6 Testing Documentation","root","10 Sep 2022","2 Oct 2022",,"Critical","Epic","Open","Unassigned","Нет версии исправления",,,,"No environment","No qase tc # (only for bug)",,"0"
"G13-48","group1.3","","Поле ""Mobile Number"" при заполнении со знаком + и цифрами сообщение об ошибке  ""Numbers and special characters are not allowed"" не отображается","stanislavdurnev9","19 Sep 2022","27 Sep 2022","27 Sep 2022","Major","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","G12-49","REQ 4 of Validation.

Steps:

1. Заполнить поле Mobile Number цифрами и спец. символами

   ER: сообщение об ошибке ""Numbers and special characters are not allowed""

   AR: сообщение об ошибке не выведено на экран","0"
"G13-36","group1.3","","Поле ""Mobile Number"" при заполнении цифрами и специальными символами выводит сообщение об ошибке ""Special characters are not allowed""","stanislavdurnev9","18 Sep 2022","27 Sep 2022","27 Sep 2022","Minor","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","G12-43","REQ 4 of Validation.

Steps:

1. Заполнить поле Mobile Number цифрами и спец. символами

   ER: сообщение об ошибке ""Numbers and special characters are not allowed""

   AR: выведено сообщение об ошибке ""**Special characters are not allowed**"".","0"
"G13-35","group1.3","","Поле ""Address"" при заполнении цифрами, буквами и специальными символами выводит сообщение об ошибке ""Special characters are not allowed""","stanislavdurnev9","18 Sep 2022","27 Sep 2022","27 Sep 2022","Minor","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","G12-36","REQ 4 of Validation.

Steps:

1. Заполнить поле Address кириллицей и спец. символами

   ER: сообщение об ошибке ""Numbers and special characters are not allowed""

   AR: выведено сообщение об ошибке ""**Special characters are not allowed**"".","0"
"G13-34","group1.3","","Поле ""Address"" при заполнении кириллицей и спец.символами выводит сообщение об ошибке ""Special characters are not allowed""","stanislavdurnev9","18 Sep 2022","27 Sep 2022","27 Sep 2022","Minor","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","G12-34","REQ 4 of Validation.

Steps:

1. Заполнить поле Address кириллицей и спец. символами

   ER: сообщение об ошибке ""Cyrillic and special characters are not allowed""

   AR: выведено сообщение об ошибке ""**Special characters are not allowed**"".","0"
"G13-33","group1.3","","Поле ""Address"" при заполнении кириллицей выводит сообщение об ошибке ""Address Field must not be blank""","stanislavdurnev9","18 Sep 2022","27 Sep 2022","27 Sep 2022","Minor","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","G12-33","REQ 4 of Validation.

Steps:

1. Заполнить поле Address кириллицей

   ER: сообщение об ошибке ""Cyrillic are not allowed""

   AR: выведено сообщение об ошибке ""**Address Field must not be blank**"".","0"
"G13-31","group1.3","","Поле ""Last name"" при заполнении кириллицей,цифрами и спец.символами  выводит сообщение об ошибке ""Numbers are not allowed""","stanislavdurnev9","18 Sep 2022","27 Sep 2022","27 Sep 2022","Minor","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","G12-30","REQ 2 of Validation.

Steps:

1. Заполнить поле Last Name кириллицей

   ER: выведено сообщение об ошибке ""Numbers, Cyrillic and special characters are not allowed"".

   AR: выведено сообщение об ошибке ""Special characters are not allowed"".","0"
"G13-32","group1.3","","Поле ""Address"" при заполнении валидными значениями выводит сообщение об ошибке ""Numbers are not allowed""","stanislavdurnev9","18 Sep 2022","27 Sep 2022","27 Sep 2022","Minor","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","G12-31","REQ 4 of Validation.

Steps:

1. Заполнить поле Address валидными значениями

   ER: сообщение об ошибке не выведено

   AR: выведено сообщение об ошибке ""Special characters are not allowed"".","0"
"G13-30","group1.3","","Поле ""Last name"" при заполнении кириллицей  выводит сообщение об ошибке ""Numbers are not allowed""","stanislavdurnev9","18 Sep 2022","27 Sep 2022","27 Sep 2022","Minor","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","G12-28","REQ 2 of Validation.

Steps:

1. Заполнить поле Last Name кириллицей

   ER: выведено сообщение об ошибке ""Cyrillic are not allowed"".

   AR: выведено сообщение об ошибке ""Numbers are not allowed"".","0"
"G13-19","group1.3","Star","Обязательные поля для заполнения не отмечены ""*""","stanislavdurnev9","18 Sep 2022","27 Sep 2022","27 Sep 2022","Minor","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","G12-46","REQ 6 of ADD CUSTOMER (all fields must markups \*) 

Steps:

1. Compare the website layout with design.

   ER: The website layout corresponds to the design

   AR: The website layout don't corresponds with REQ design

   
","0"
"G13-24","group1.3","","Поле ""First Name"" при заполнении кириллицей  выводит сообщение об ошибке ""Numbers are not allowed""","stanislavdurnev9","18 Sep 2022","27 Sep 2022","27 Sep 2022","Minor","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","G12-14","REQ 1 of Validation.

Steps:

1. Заполнить поле First Name кириллицей

   ER: выведено сообщение об ошибке ""Cyrillic are not allowed"".

   AR: выведено сообщение об ошибке """"Numbers are not allowed"".","0"
"G13-23","group1.3","Star","Кнопка ""Reset"" не обнуляет сообщения об ошибках при заполнении полей","stanislavdurnev9","18 Sep 2022","27 Sep 2022","27 Sep 2022","Minor","Bug","Done","Unassigned","Нет версии исправления",,,,"""Windows 10 19043.2006 Google Chrome 103.0.5060.134""","G12-10","REQ 8 of Add Customer. 

Steps:

1. Заполнить все обязательные поля некорректными значениями
2. Нажать на кнопку ""Reset""

   ER: все значения и сообщения об ошибках обнулятся.

   AR: Сообщения об ошибках не обнуляются и остаются под полями для обязательного заполнения.","0"
"G13-18","group1.3","Star","Testing Documentation Stas Durnev","stanislavdurnev9","18 Sep 2022","27 Sep 2022","27 Sep 2022","Critical","Task","Done","Unassigned","Нет версии исправления",,,,"No environment","No qase tc # (only for bug)","Functional testing for **""Main page""** and **""Add Customer""** in <https://demo.guru99.com/telecom/index.html>","0"
"G13-53","group1.3","","!!!! исправить There are 4 active buttons Instead of 5 active button in the main page","Vitalina","22 Sep 2022","27 Sep 2022",,"Normal","Bug","Open","Unassigned","Нет версии исправления",,,,"No environment","G13-52","Open page <https://demo.guru99.com/telecom/index.html>

The user sees main page. 

There are 4 active buttons in the main page Add Customer, Add Tariff Plan, Add Tariff Plan to Customer, Pay Billing и Delete Customer around the pictures with mobile phone. And humburger menu have 5 active buttons Add Customer, Add Tariff Plan, Add Tariff Plan to Customer, Pay Billing and home","0"
